spec,maxl,maxw,maxth,maxstl,maxstw,site,region
dawson38,119.51,28.11,9.25,22.24,23.99,Pov Pt,east
dawson39,97.21,38.02,11.25,22.89,24.08,Pov Pt,east
dawson37,54.93,33.87,8.74,13.09,20.23,Pov Pt,east
dawson36,54.24,32.9,11.45,21.46,23.86,Pov Pt,east
dawson34,61.94,31.81,11.43,14.96,16.9,Pov Pt,east
dawson35,54.11,33.29,11.6,16.09,22.45,Pov Pt,east
dawson40,81.14,41.35,14.64,16.17,23.5,Pov Pt,east
dawson10,69.16,26.69,15.01,22.22,22.78,Pov Pt,east
dawson1,71.76,30.67,10.49,13.94,19.45,Pov Pt,east
dawson8,79.28,23.5,11.81,20.09,21.19,Pov Pt,east
dawson2,51.84,28.47,10.05,17.49,21.99,Pov Pt,east
dawson5,69.85,33.1,12.93,17.26,25.17,Pov Pt,east
dawson9,58.2,32.28,11.03,20.51,25.44,Pov Pt,east
dawson11,42.4,26.02,8.82,15.56,17.62,Pov Pt,east
dawson12,67.54,36.62,11.62,18.23,24.38,Pov Pt,east
dawson6,57.5,28.96,11.48,13.72,17.12,Pov Pt,east
dawson7,51.19,22.62,8.6,20.11,19.76,Pov Pt,east
dawson22,97.8,32.45,10.66,15.5,21.38,Pov Pt,east
dawson16,70.24,38.62,10.14,19.26,30,Pov Pt,east
dawson15,45.5,21.14,8.76,14.93,16.38,Pov Pt,east
dawson13,57.77,26.48,10.44,19.83,24.17,Pov Pt,east
dawson17,77.28,33.08,12.65,21.55,24.37,Pov Pt,east
dawson19,61.79,25.21,11.04,13.56,23.71,Pov Pt,east
dawson18,50.44,29.24,10.91,13.86,19.38,Pov Pt,east
dawson20,58.96,27.16,9.15,17.51,18.83,Pov Pt,east
dawson14,57.98,27.04,6.67,16.29,21.87,Pov Pt,east
dawson21,49.21,28.24,8.84,19.2,23.56,Pov Pt,east
dawson23,89.47,30.62,10.42,24.83,27.09,Pov Pt,east
dawson24,67.71,32.87,13.83,23.38,28.99,Pov Pt,east
dawson25,74.03,33.49,9.55,14.91,19.82,Pov Pt,east
dawson26,74.64,25.06,10.38,15.76,21.98,Pov Pt,east
dawson27,44.53,22.78,8.31,14.25,15.75,Pov Pt,east
dawson29,47.53,26.06,8.92,18.11,23.41,Pov Pt,east
dawson30,70.45,36.35,11.58,22.58,24.24,Pov Pt,east
dawson31,68.69,32.33,10.02,15.5,18.43,Pov Pt,east
dawson28,62.58,27.9,8.15,21.02,23.6,Pov Pt,east
dawson32,55.96,30.26,9.7,18.72,24.82,Pov Pt,east
68.F-103384.9030,75.66,39.99,11.49,20.02,25.13,Pov Pt,east
68.4987-1.B5AA.9033,100.43,33.26,12.66,23.19,24.38,Pov Pt,east
68.I1.CC.4987-1.9034,81.66,37.66,11.08,25.2,24.93,Pov Pt,east
68.4987-1.9031a,46.18,25.16,11.29,17.1,20.99,Pov Pt,east
68.4987-1.9032,58.55,28.79,11.63,14.46,20.22,Pov Pt,east
chapman224,81.28,42.94,9.81,17.94,23.54,Pov Pt,east
chapman224.P.CC.A,71.86,29.9,9.63,14.22,18.49,Pov Pt,east
proj1-15.site2.s.of.dorm,65.15,32.25,10.73,18.17,21.56,Pov Pt,east
proj1-15.site1.n.of.moundb,69.21,34.39,11.79,14.76,17.66,Pov Pt,east
mnd.c.surface.1000,53.07,25.47,10.17,13.62,17.28,Pov Pt,east
70-pp4,68.4,28.76,10.7,18.49,20.62,Pov Pt,east
QHG,93.04,40.41,12.69,24.25,22.23,Pov Pt,east
plunkett.1,81.39,38.39,13.56,18.71,26.23,Pov Pt,east
plunkett.2,62.98,41.97,10.16,14.08,26.09,Pov Pt,east
68.pp.6972,83.36,29.49,9.9,23.68,26.16,Pov Pt,east
68.pp.6973,85.22,37.91,24.73,25.07,28.89,Pov Pt,east
68.pp.7154,77.06,34.37,12.36,20.93,23.74,Pov Pt,east
68.pp.6974,73.28,31.45,9.95,14.76,21.26,Pov Pt,east
68.pp.6975,68.27,35.11,9.34,15.09,18.47,Pov Pt,east
68.pp.6979,47.9,29.65,9.76,17.04,19.68,Pov Pt,east
68.pp.7289,67.58,31.62,7.92,17.45,21.4,Pov Pt,east
68.pp.7290,63.24,32.26,9.03,19.14,19.87,Pov Pt,east
68.pp.6978,41.24,19.66,8.67,15.42,16.7,Pov Pt,east
68.pp.6980,50.72,26.7,7.67,12.84,16.65,Pov Pt,east
68.pp.7295,64.9,31.75,7.08,14.92,14.67,Pov Pt,east
68.pp.7310,66.89,34.45,11.09,13.91,20.03,Pov Pt,east
68.pp.7356,60.28,29.81,7.84,19.78,25.94,Pov Pt,east
68.pp.7355,59.15,27.75,10.05,19.96,25.84,Pov Pt,east
68.pp.7305,48.4,23.34,9.55,17.75,17.02,Pov Pt,east
68.pp.7311,56.4,23.34,8.48,13.74,15.28,Pov Pt,east
68.pp.7304,65.4,29.14,9.98,17.09,21.49,Pov Pt,east
68.pp.7302,60.82,37.64,7.74,18.02,25.4,Pov Pt,east
68.pp.7357,64.49,26.02,9.69,21.73,22.71,Pov Pt,east
68.pp.7291,62.03,30.9,8.54,17.38,21.9,Pov Pt,east
68.pp.7384,40.65,23.75,7.09,14.78,17.47,Pov Pt,east
68.pp.7385,67.81,28.63,9.91,16.09,20.08,Pov Pt,east
68.pp.7389,59.49,25.93,13.65,21.4,23.7,Pov Pt,east
68.pp.7540,85.74,35.06,12.06,19.76,22.59,Pov Pt,east
68.pp.7388,60.09,25.01,10.21,18.61,22.39,Pov Pt,east
68.pp.6971,71.11,32.77,11.96,17.05,20.13,Pov Pt,east
68.pp.6964,59.82,34.95,12.48,13.19,21.04,Pov Pt,east
68.pp.6960,59.58,32.15,8.83,13.21,16.63,Pov Pt,east
68.pp.6950,59.76,23.4,10.07,18.49,21.47,Pov Pt,east
68.pp.6959,65.43,26.68,11.89,21.54,23.56,Pov Pt,east
68.pp.6947,58.27,26.44,7.9,14,18.11,Pov Pt,east
68.pp.6946,63.85,31.16,10.03,23.59,24.64,Pov Pt,east
68.pp.6910,53.43,34.39,7.91,15.04,21.64,Pov Pt,east
68.pp.6776,82.89,34.61,10.45,15.45,21.79,Pov Pt,east
68.pp.6430,58.65,30.66,8.19,12.15,18.61,Pov Pt,east
68.pp.6395,87.89,35.83,8.95,21.7,25.93,Pov Pt,east
68.pp.6428,62.37,23.07,8.82,11.67,17.07,Pov Pt,east
68.pp.6334,48.03,28.47,9.67,14.1,21.15,Pov Pt,east
68.pp.6369,75.15,26.81,10.96,16.59,20.08,Pov Pt,east
68.pp.6368,71.91,31.44,11.88,19.78,24.98,Pov Pt,east
68.pp.6429,69.15,25.89,12.02,14.9,15.89,Pov Pt,east
68.pp.6331,70.01,23.96,13.27,22.85,20.33,Pov Pt,east
68.pp.6362,60.8,29.43,10.09,17.06,22.75,Pov Pt,east
68.pp.6353,47.29,29.17,11.33,14.41,21.61,Pov Pt,east
68.pp.6400,45.85,23.72,7.47,14.54,18.21,Pov Pt,east
68.F-103384.pp2.9044,70.65,25.67,9.17,23.3,22.29,Pov Pt,east
68.F-103384.B-6.9043,94.26,32.84,16.82,18.2,23.47,Pov Pt,east
68.F-103384.Graphic.9042,104.3,36.06,13.6,25.84,22.59,Pov Pt,east
68.4466.P3QHG.9041,90.16,31.88,9.04,22.92,17.49,Pov Pt,east
68.F-103384.9040,62.39,31.72,10.33,19.51,22.92,Pov Pt,east
68.4987-1.B-6DD.9037,87.19,27.62,13.89,18.7,21.7,Pov Pt,east
68.F103365.P2-AH3.9038,83.87,29.72,13.98,18.77,21.44,Pov Pt,east
68.4987-1.s.9035,79.43,29.24,10.8,18.02,22.24,Pov Pt,east
68.F-103384.9039,56.7,27.41,13.96,15.17,18.03,Pov Pt,east
68.4987-IJ-9036,51.86,25.6,8.17,13.95,20.25,Pov Pt,east
68.NorZ.4987-1.9022,115.59,34.97,16.71,18.3,28.54,Pov Pt,east
68.F-103384.9021,69.59,29.4,9.82,13.82,17.13,Pov Pt,east
68.F-103365.9029,75.93,24.91,11.51,17.08,21.3,Pov Pt,east
68.F-103384.9028,74.79,30.92,13.91,18.46,22.93,Pov Pt,east
68.F-103384.P2-EOBM-R2-3-N.9027,79.51,28.87,8.49,15.95,20.17,Pov Pt,east
68.F-103384.9026,82.25,35.17,11.23,13.26,18.84,Pov Pt,east
68.F-103384.9025,67.85,29.36,10.46,11.51,15.19,Pov Pt,east
68.F-103384.P2.9024,70.11,33.31,9.51,22.2,24.03,Pov Pt,east
68.F103380.9023,53.99,28.61,12.92,17.71,22.47,Pov Pt,east
68.F-103384.9020,54.53,31.85,10.94,18.25,21.81,Pov Pt,east
68.F-103384.9010,65.31,25.24,10.38,16.87,20.55,Pov Pt,east
68.F-103384.9011,50.36,28.02,5.81,15,15.89,Pov Pt,east
68.F-103384.9012,49.38,25.57,8.6,14.52,16.24,Pov Pt,east
68.F-103380.9013,47.58,25.81,9.51,17.59,21.01,Pov Pt,east
68.F-103384.9014,68.67,30.09,9.09,16.21,19.12,Pov Pt,east
68.F-103384.P2-QHG.9015,92.01,37.77,10.64,23.75,29.06,Pov Pt,east
68.F-103384.P2-R6-S.9016,94.34,33.21,14.92,21.49,23.73,Pov Pt,east
68.F-103384.9017,56.53,29.96,10.7,15.39,22.3,Pov Pt,east
68.F-103384.P2-QHG.9018,59.01,32.11,10.2,18.83,24.44,Pov Pt,east
68.F-103384.9019,66.5,35.7,14.08,17.77,25.21,Pov Pt,east
68.F-103380.9008,65.22,34.59,11.75,17.15,24.85,Pov Pt,east
68.F-103380.9009,49.34,25.32,10.12,17.24,22,Pov Pt,east
68.F-103384.9006,60.56,33.49,8.71,17.09,24.04,Pov Pt,east
68.F-103384.9007,58.95,29.61,10.4,17.29,18.94,Pov Pt,east
68.F-103384.9005,63.73,27.6,8.5,17.56,17.94,Pov Pt,east
68.F-10334.9004,52.54,27.56,11.24,13.93,15.99,Pov Pt,east
68.F-103384.9003,74.01,37.45,13.49,19.36,22.48,Pov Pt,east
68.F-103384.9002,70.65,34.13,18.89,23.38,19.9,Pov Pt,east
68.F-103384.9000,86.68,31.71,13.96,26.52,28.58,Pov Pt,east
68.F-103380.P2-R5-So.9001,41.29,27.27,8.93,13.31,19.24,Pov Pt,east
12,28.6,23.23,4.96,9.48,13.62,Yar,west
14,38.07,20.2,7.24,12.93,11.93,Yar,west
17,39.64,19.41,6.9,15.42,15.65,Yar,west
31,37.88,20,5.66,13.11,13.01,Yar,west
33,29.47,18,6.61,15.84,15.71,Yar,west
38,53.16,22.71,10.42,17.06,14.37,Yar,west
41,44.04,24.45,6.45,11.33,13.85,Yar,west
43,31.93,15.67,6.88,11.77,12.1,Yar,west
44,24.39,16.42,5.89,11.05,14.78,Yar,west
51,39.8,18.88,5.18,15.38,15.54,Yar,west
54,32.48,18.53,5.59,10.23,14.26,Yar,west
56,32.82,16.25,6.63,11.84,12.24,Yar,west
59,32.48,15.73,6.48,13.92,12.56,Yar,west
64,22.48,14.35,5.58,12.76,12.49,Yar,west
65,36.84,16.82,6.14,10.96,12.11,Yar,west
66,44.33,23.69,8.85,15.21,14.94,Yar,west
76,36.99,24.78,8.08,15.26,17.25,Yar,west
79,30.87,16.21,5.84,13.37,12.45,Yar,west
84,42.65,19.16,7.82,13.42,14.68,Yar,west
85,61.64,30.68,9.78,15.95,16.33,Yar,west
95,77.95,33.33,8.8,17.62,16.9,Yar,west
97,39.68,20.13,9.74,13.87,15.65,Yar,west
104,44.89,28.83,7.05,15.77,15.91,Yar,west
119,32.69,23.65,6.06,11.28,14.87,Yar,west
123,32.31,20.91,6.19,11.44,13.16,Yar,west
152,39.2,29.59,6.37,12.69,16.23,Yar,west
176,21.52,16.88,6.03,11.61,12.95,Yar,west
185,29.09,18.62,8.27,14.28,14.67,Yar,west
187,32.43,20.48,7.87,17.26,15.88,Yar,west
190,26.2,17.86,5.93,11.32,13.93,Yar,west
192,24.74,17.86,6.26,11.28,14.87,Yar,west
195,38.75,25.61,8.05,13.59,14.38,Yar,west
229,49.15,24.48,8.51,15.25,22.4,Yar,west
235,41.57,14.87,8.04,15.86,13.35,Yar,west
235,30.37,14.91,6.21,11.72,12,Yar,west
240,58.75,36.9,7.62,15.2,19.13,Yar,west
245,29.34,18.33,7.56,11.25,14.24,Yar,west
247,34.41,18.23,7.32,10.73,11.87,Yar,west
256,43.31,17.4,9.44,13.25,14.02,Yar,west
258,28.04,16.61,5.58,10.82,12.95,Yar,west
276,40.99,22.49,8,16.58,13.64,Yar,west
281,47.19,20.5,8.13,11.85,18.82,Yar,west
305,47.72,21.55,11.32,18.21,17.55,Yar,west
311,46.1,21.74,8.59,15.42,13.22,Yar,west
314,42.51,22.15,7.48,15.44,17.69,Yar,west
344,31.05,17.79,6.25,11.83,13.95,Yar,west
354,26.96,18.14,6.86,10.46,13,Yar,west
356,24.65,14.15,6.05,12.65,11.69,Yar,west
358,22.89,13.24,6.25,11.21,11.88,Yar,west
360,36.71,26.07,7.57,12.74,16.55,Yar,west
362,27.5,16.12,5.78,12.85,12.13,Yar,west
372,27.05,18.93,5.98,10.44,12.88,Yar,west
376,33.67,18.44,7.64,15.28,15.22,Yar,west
379,24.44,16.76,6.46,10.49,12.11,Yar,west
381,22.82,17,7.3,12.25,12.6,Yar,west
389,22.79,13.8,6.36,12.1,13.13,Yar,west
398,23.35,15.73,6.63,11.92,12.83,Yar,west
407,59.09,22.02,7.56,20.14,17.95,Yar,west
413,27.18,20.56,6.57,11.7,15.71,Yar,west
415,28.41,21.28,5.5,9.81,14.88,Yar,west
416,31.88,14.5,8.17,12.95,13.73,Yar,west
497,42.39,29.25,6.67,11.49,14.85,Yar,west
509,35.98,30.32,6.26,16.45,15.97,Yar,west
514,40.78,21.34,7.35,10.95,13.34,Yar,west
531,27.74,17.55,8.55,12.14,13.26,Yar,west
533,34.38,19.01,6.77,14.59,15.22,Yar,west
537,36.95,17.57,8.32,15.97,16.45,Yar,west
540,31.51,21.6,6.51,12.74,13.09,Yar,west
549,46.52,24.75,7.04,15,13.52,Yar,west
555,35.52,22.05,7.28,17.79,17.27,Yar,west
557,24.58,18.24,6.82,12.36,15.29,Yar,west
572,42.21,14.89,9.43,17.29,12.87,Yar,west
576,40.9,20.8,7.89,17.05,15.9,Yar,west
578,28.26,18.98,5.51,8.72,12.2,Yar,west
599,36.64,20.01,7.7,10.59,13.03,Yar,west
619,38.06,21.66,7.13,12.2,14.26,Yar,west
622,35.48,28.99,6.31,11.82,15.71,Yar,west
629,31.64,25.66,6.18,12.55,18.42,Yar,west
631,30.59,14.1,6.74,13.54,12.36,Yar,west
632,33.93,22.02,7.68,15.31,17.37,Yar,west
637,29.9,17.3,5.98,13.1,11.89,Yar,west
639,29.87,20.06,7.14,14.92,14.97,Yar,west
648,48.84,19.53,16.42,17.64,17.16,Yar,west
656,45.12,27.35,6.67,15.42,14.71,Yar,west
663,44.7,26.43,8.45,17.57,16.87,Yar,west
668,55.17,22.13,15.04,16.8,19.25,Yar,west
689,41.27,31.53,10.35,10.88,22.13,Yar,west
694,40.82,18.53,7.3,16.93,15.4,Yar,west
705,29.77,16.46,6.08,11.94,13.63,Yar,west
754,38.32,24.77,5.91,13.95,15.31,Yar,west
756,31.92,15.16,6.92,10.62,11.77,Yar,west
757,33.14,18.97,7.15,13.91,14.05,Yar,west
765,43.62,31.47,7.25,17.75,23.64,Yar,west
769,44.79,29.08,9.51,16.51,21.24,Yar,west
774,28.03,18.11,6.28,12.65,13.22,Yar,west
779,24.43,14.45,7.39,8.36,12.86,Yar,west
787,40.34,26.81,9.99,16.08,17.79,Yar,west
789,38.42,20.27,7.48,13.61,13.65,Yar,west
795,34.66,19.53,8.58,10.55,13.23,Yar,west
812,27.4,16.68,6.97,14.44,14.25,Yar,west
814,35.86,20.94,6.75,16.9,16.21,Yar,west
883,39.14,21.55,7.61,11.52,14.68,Yar,west
884,39.83,26.58,7.58,12.38,15.32,Yar,west
889,25.91,15.69,5.6,10.78,13.27,Yar,west
894,34.06,20.54,7.7,16.07,16.06,Yar,west
895,33.93,19.06,8.78,13.6,15.36,Yar,west
912,34.58,25.62,8.02,16.17,16.01,Yar,west
948,29.55,15.65,8.12,12.89,11.77,Yar,west
950,28.76,15.33,6.99,13.19,10.24,Yar,west
959,26.29,21.15,6.87,13.83,15.38,Yar,west
968,41.46,27.74,8.53,15.74,12.59,Yar,west
974,40.45,32.31,6.06,14.39,17.27,Yar,west
975,46.23,19.76,6.42,15.53,15.55,Yar,west
993,32.76,25.05,6.58,7.77,13.96,Yar,west
1020,35.95,18.89,7.87,16.85,14.87,Yar,west
1027,34.52,19.56,7.52,15.54,15.26,Yar,west
1046,43.73,33.84,6.48,14.48,13.16,Yar,west
1049,40.76,17.51,7.95,16.35,12.25,Yar,west
1050,28.37,17.31,5.82,10.56,12.21,Yar,west
1053,42.71,19.61,7.84,17.11,16.23,Yar,west
1077,27.26,18.22,5.47,11.73,13.4,Yar,west
1078,48.47,30.6,6.091,13.39,15.21,Yar,west
1095,44.98,22.39,8.48,15.08,17.62,Yar,west
1099,43.75,23.59,7.22,16.23,16.96,Yar,west
1108,33.52,16.7,6.76,14.68,12.7,Yar,west
1109,25.08,14.15,6.61,12.05,11.91,Yar,west
1110,34.18,14.36,7.12,13.18,12.84,Yar,west
1124,25.76,16.66,6.69,14.51,13.73,Yar,west
1125,24.45,16.75,5.87,15.64,14.96,Yar,west
1136,53.19,42.1,11.49,17.07,29.09,Yar,west
1188,23.25,18.14,6.21,11.25,14.39,Yar,west
1190,27.6,17.67,5.91,11.37,12.02,Yar,west
1193,47.61,23.98,7.14,13.48,11.45,Yar,west
1214,51.46,29.51,8.37,17.65,25.35,Yar,west
1216,35.45,19.03,6.48,12.49,14.83,Yar,west
1220,26.5,14.55,5.4,12.7,13.55,Yar,west
1230,40.6,19.43,8.32,18.38,16.81,Yar,west
1231,38.56,19.29,7.31,15.71,14.13,Yar,west
1259,40.9,18.97,8.18,16.1,14.59,Yar,west
1263,33.57,21.05,8.14,14.21,13.44,Yar,west
1267,35.89,16.64,6.99,12.4,12.47,Yar,west
1281,29.98,19.15,8.14,13.3,16.68,Yar,west
1287,41.16,22.12,7.32,18.03,17.75,Yar,west
1292,31.09,17.77,9.22,16.15,14.31,Yar,west
1295,32.77,16.59,6.84,12.12,12.25,Yar,west
1297,30.09,19.93,6.54,9.68,13.01,Yar,west
1306,30.41,19.32,5.82,12.42,12.22,Yar,west
1316,44.93,41.47,9.57,9.92,33.12,Yar,west
1330,28.84,13.94,6.11,11.95,12.14,Yar,west
1333,29.11,16.17,6.84,13.61,12.85,Yar,west
1337,42.96,19.02,5.55,10.44,12.09,Yar,west
1343,40.3,18,7.2,15.06,14.12,Yar,west
1346,32.44,15.37,6.14,13.63,12.33,Yar,west
1358,55.18,33.79,6.88,12.74,18.55,Yar,west
1361,28.78,14.01,5.67,11.5,11.04,Yar,west
1373,32.37,17.02,6.21,14.25,13.19,Yar,west
1375,48.55,29.97,5.98,13.94,18.08,Yar,west
1376,41.4,27.15,6.08,11.86,16.45,Yar,west
1377,32.68,19.09,7.32,12.04,13.39,Yar,west
1378,26.78,14.88,5.51,12.37,12.4,Yar,west
1381,29.03,15.67,6.76,13.32,12.09,Yar,west
1382,30.07,17.39,7.26,11.59,11.29,Yar,west
1394,44.8,28.56,7.35,14.67,17.06,Yar,west
1399,33.77,24.94,5.47,11.13,13.03,Yar,west
1410,56.89,22.66,9.62,19.54,18.4,Yar,west
1419,46.9,39.34,8.33,12.49,28.95,Yar,west
1429,32.33,26.18,5.1,9.4,15.26,Yar,west
1431,32.08,17.03,5.96,12.2,13.1,Yar,west
1433,43.58,24.28,6.65,16.06,12.2,Yar,west
1436,25.44,16.56,5.56,14.14,13.87,Yar,west
1466,27.54,15.07,7.42,12.17,13.08,Yar,west
1478,33.47,26.26,6.16,11.63,16.4,Yar,west
1479,35.35,19.23,8.02,13.21,13.6,Yar,west
1481,36.92,27.39,7.65,10.01,13.89,Yar,west
1482,38.07,17.33,5.35,10.48,10.49,Yar,west
1483,38.01,22.51,6.17,14.36,16.09,Yar,west
1484,26.28,14.57,5.93,11.11,13.54,Yar,west
1493,39.45,19.9,6.65,15.24,18.05,Yar,west
1501,30.34,18.03,5.81,12.03,13.49,Yar,west
1503,50.52,37.26,7.51,9.61,23.41,Yar,west
1539,46.19,22.59,9.1,14.15,17.25,Yar,west
1546,44.01,31.15,6.76,12.15,16.85,Yar,west
1548,34.69,15.59,7.44,16.65,13.29,Yar,west
1561,42.41,18.45,7.18,13.96,13.88,Yar,west
1566,37.97,25.66,7.97,12.83,17.59,Yar,west
1581,27.55,15.82,6.17,10.96,12.82,Yar,west
1585,33.55,18.77,8.91,16.7,15.28,Yar,west
1640,24.4,13.39,6.71,10.66,11.5,Yar,west
1642,28.53,13.93,8.31,14.66,13.11,Yar,west
1658,30.93,17.7,5.73,14.8,15.57,Yar,west
1668,32.72,27.58,6.77,11.81,16.52,Yar,west
1669,31.99,25.53,6.71,14.74,17.65,Yar,west
1670,46.99,21.87,6.79,12.42,15.61,Yar,west
1680,51.01,20.51,10.11,16.17,15.02,Yar,west
1695,38.68,22.96,6.5,14.11,18.85,Yar,west
1706,48.6,32.32,8.5,14.98,19.45,Yar,west
1746,34.08,20.08,8.57,13.19,15.66,Yar,west
1769,38.08,22.55,8.73,15.04,13.41,Yar,west
1794,32.61,19.35,6.53,11.86,15.41,Yar,west
1799,46.78,19.61,8.8,16.88,15.89,Yar,west
1819,30.25,16.78,7.07,14.5,14.85,Yar,west
1821,32.21,16.31,7.29,13.2,12.31,Yar,west
1849,44.38,23.75,11.44,17.03,17.42,Yar,west
1861,45.07,26.27,11.12,13.15,17.63,Yar,west
1870,33.3,20.84,8.68,11.54,14.5,Yar,west
1908,34.55,21.72,7.44,13.59,12.37,Yar,west
1927,31.43,18.05,6.36,15.27,14.55,Yar,west
1930,45.57,31.45,11.24,16.97,15.56,Yar,west
1934,28.42,17.59,8.08,13.78,14.93,Yar,west
1948,25.29,13.09,6.37,11.82,11.68,Yar,west
1961,48.08,19.42,7.6,18.03,17.16,Yar,west
1966,24.26,15.27,6.24,14.56,13.9,Yar,west
1984,41.5,21.15,5.6,13.49,13.3,Yar,west
1994,46.81,19.7,9.12,17.97,16.61,Yar,west
2002,30.94,15.46,8.09,13.35,12.08,Yar,west
2004,34.05,22.27,6.11,13.31,14.68,Yar,west
2010,28.75,16.01,6.49,15.28,15.13,Yar,west
2025,28.52,16.57,6.14,10.87,11.29,Yar,west
2047,31.69,18.52,5.85,8.17,11.02,Yar,west
2055,50.17,38.42,12.82,14.48,19.54,Yar,west
2059,26.79,14.83,6.9,12.55,12.84,Yar,west
2078,41.72,23.04,7.1,18.02,20.37,Yar,west
2080,38.15,19.71,7.75,17.65,17.48,Yar,west
2094,40.41,27.15,7.12,13.03,16.66,Yar,west
2109,44.84,30.73,5.66,12.99,17.4,Yar,west
2114,53.73,25.45,7.57,18.24,17.17,Yar,west
2118,37.91,22.11,6.3,13.74,14.85,Yar,west
2129,40.21,20.68,7.25,13.76,12.25,Yar,west
2132,31.19,14.49,6.48,14.53,13.14,Yar,west
2136,47.42,20.17,8.12,14.62,13.2,Yar,west
2138,21.88,14.66,5.15,10.88,12.07,Yar,west
2141,30.41,19.47,7.7,10.44,17.52,Yar,west
2142,30.89,22.36,7.3,10.69,13.48,Yar,west
2143,29.22,23.49,6.3,12.25,14.79,Yar,west
2147,38.75,20.49,8.42,14.02,15.88,Yar,west
2163,44.75,36.73,12.01,9.96,27.81,Yar,west
2172,48.51,26.52,13.29,16.35,21.56,Yar,west
2668,35.53,25.98,5.86,11.76,14.44,Yar,west
